10										
Pop.a_____	0	0	0	0	0	0	0	0	0	0
Pop.b_____	0.247	0	0	0	0	0	0	0	0	0
Pop.c_____	0.4368	0.3788	0	0	0	0	0	0	0	0
Pop.d_____	0.4891	0.3704	0.2129	0	0	0	0	0	0	0
Pop.e_____	0.6369	0.5317	0.3565	0.3419	0	0	0	0	0	0
Pop.f_____	0.5268	0.4708	0.5522	0.5459	0.6359	0	0	0	0	0
Pop.g_____	0.4496	0.4755	0.4833	0.4928	0.6519	0.4015	0	0	0	0
Pop.h_____	0.4461	0.4141	0.4699	0.4595	0.5767	0.3136	0.3058	0	0	0
Pop.i_____	0.4352	0.3665	0.4623	0.4538	0.5648	0.2328	0.2569	0.1598	0	0
Pop.j_____	0.4354	0.4083	0.4537	0.445	0.5532	0.2767	0.2633	0.1954	0.1577	0
										
										
10										
Pop.a_____	0	0	0	0	0	0	0	0	0	0
Pop.b_____	0.1804	0	0	0	0	0	0	0	0	0
Pop.c_____	0.4049	0.3402	0	0	0	0	0	0	0	0
Pop.d_____	0.4221	0.3244	0.205	0	0	0	0	0	0	0
Pop.e_____	0.505	0.3983	0.2644	0.2904	0	0	0	0	0	0
Pop.f_____	0.3153	0.3015	0.4432	0.4369	0.4978	0	0	0	0	0
Pop.g_____	0.3364	0.379	0.4206	0.4114	0.5611	0.3754	0	0	0	0
Pop.h_____	0.3141	0.3005	0.3896	0.3679	0.4339	0.2414	0.2641	0	0	0
Pop.i_____	0.3027	0.2747	0.4124	0.3822	0.4678	0.2059	0.2657	0.1651	0	0
Pop.j_____	0.3933	0.4048	0.43	0.4291	0.5036	0.3286	0.3007	0.2093	0.2427	0
										
										
10										
Pop.a_____	0	0	0	0	0	0	0	0	0	0
Pop.b_____	0.1679	0	0	0	0	0	0	0	0	0
Pop.c_____	0.4046	0.3429	0	0	0	0	0	0	0	0
Pop.d_____	0.4961	0.4032	0.1521	0	0	0	0	0	0	0
Pop.e_____	0.6481	0.5291	0.4071	0.379	0	0	0	0	0	0
Pop.f_____	0.4222	0.3373	0.3889	0.4162	0.4878	0	0	0	0	0
Pop.g_____	0.4341	0.4459	0.401	0.4459	0.6625	0.3982	0	0	0	0
Pop.h_____	0.3584	0.3207	0.3586	0.3955	0.5213	0.2119	0.3284	0	0	0
Pop.i_____	0.3347	0.3105	0.3615	0.3978	0.5155	0.2085	0.2821	0.1754	0	0
Pop.j_____	0.3992	0.4052	0.4059	0.418	0.5483	0.3092	0.3982	0.2071	0.2242	0
										
										
10										
Pop.a_____	0	0	0	0	0	0	0	0	0	0
Pop.b_____	0.2308	0	0	0	0	0	0	0	0	0
Pop.c_____	0.4869	0.3955	0	0	0	0	0	0	0	0
Pop.d_____	0.602	0.4567	0.2312	0	0	0	0	0	0	0
Pop.e_____	0.6704	0.5281	0.3721	0.3898	0	0	0	0	0	0
Pop.f_____	0.4438	0.3648	0.4223	0.4838	0.5242	0	0	0	0	0
Pop.g_____	0.3615	0.4025	0.3872	0.5006	0.6322	0.3288	0	0	0	0
Pop.h_____	0.3788	0.3228	0.3401	0.3932	0.4753	0.3092	0.3068	0	0	0
Pop.i_____	0.3261	0.2643	0.3332	0.4027	0.4779	0.2148	0.2281	0.1564	0	0
Pop.j_____	0.3849	0.3965	0.3853	0.4711	0.5629	0.3426	0.2501	0.2355	0.2223	0
										
										
10										
Pop.a_____	0	0	0	0	0	0	0	0	0	0
Pop.b_____	0.1339	0	0	0	0	0	0	0	0	0
Pop.c_____	0.3713	0.3131	0	0	0	0	0	0	0	0
Pop.d_____	0.3955	0.3376	0.2368	0	0	0	0	0	0	0
Pop.e_____	0.5014	0.4173	0.305	0.3417	0	0	0	0	0	0
Pop.f_____	0.2926	0.2231	0.3254	0.3317	0.351	0	0	0	0	0
Pop.g_____	0.3628	0.3527	0.3587	0.3493	0.5306	0.2993	0	0	0	0
Pop.h_____	0.3744	0.3288	0.3728	0.3665	0.4263	0.2029	0.291	0	0	0
Pop.i_____	0.3224	0.2577	0.3347	0.2971	0.3649	0.1487	0.2637	0.1652	0	0
